age,female,male,difference,sex_greater_age_difference
0,1761,1850,89,Male
1,1721,1804,83,Male
2,1810,1889,79,Male
3,1842,1937,95,Male
4,1863,1980,117,Male
5,1958,2042,84,Male
6,2038,2130,92,Male
7,2098,2214,116,Male
8,2152,2268,116,Male
9,2201,2310,109,Male
10,2254,2377,123,Male
11,2303,2393,90,Male
12,2331,2434,103,Male
13,2298,2404,106,Male
14,2255,2334,79,Male
15,2155,2246,91,Male
16,2073,2165,92,Male
17,2065,2186,121,Male
18,2053,2118,65,Male
19,1983,2054,71,Male
20,1976,2007,31,Male
21,1868,1923,55,Male
22,1923,1965,42,Male
23,1878,1929,51,Male
24,1835,1889,54,Male
25,1830,1873,43,Male
26,1804,1836,32,Male
27,1845,1822,-23,Female
28,1861,1806,-55,Female
29,1933,1874,-59,Female
30,2052,1928,-124,Female
31,2106,2014,-92,Female
32,2148,2025,-123,Female
33,2155,1993,-162,Female
34,2267,2070,-197,Female
35,2371,2168,-203,Female
36,2439,2239,-200,Female
37,2449,2276,-173,Female
38,2556,2344,-212,Female
39,2662,2421,-241,Female
40,2696,2518,-178,Female
41,2731,2587,-144,Female
42,2708,2602,-106,Female
43,2588,2454,-134,Female
44,2461,2371,-90,Female
45,2406,2356,-50,Female
46,2382,2330,-52,Female
47,2341,2315,-26,Female
48,2321,2279,-42,Female
49,2317,2290,-27,Female
50,2262,2253,-9,Female
51,2189,2182,-7,Female
52,2150,2147,-3,Female
53,2012,2038,26,Male
54,2010,2003,-7,Female
55,1972,1959,-13,Female
56,1954,1917,-37,Female
57,1985,1930,-55,Female
58,1916,1860,-56,Female
59,1875,1824,-51,Female
60,1816,1778,-38,Female
61,1803,1740,-63,Female
62,1743,1694,-49,Female
63,1644,1617,-27,Female
64,1631,1570,-61,Female
65,1573,1556,-17,Female
66,1541,1484,-57,Female
67,1532,1476,-56,Female
68,1438,1406,-32,Female
69,1460,1412,-48,Female
70,1368,1328,-40,Female
71,1327,1278,-49,Female
72,1322,1247,-75,Female
73,1258,1195,-63,Female
74,1198,1155,-43,Female
75,1143,1092,-51,Female
76,1104,1005,-99,Female
77,998,912,-86,Female
78,916,837,-79,Female
79,871,760,-111,Female
80,760,667,-93,Female
81,699,591,-108,Female
82,672,548,-124,Female
83,624,493,-131,Female
84,555,422,-133,Female
85,518,384,-134,Female
86,468,335,-133,Female
87,422,282,-140,Female
88,370,235,-135,Female
89,310,189,-121,Female
90,267,152,-115,Female
91,236,121,-115,Female
92,175,81,-94,Female
93,145,58,-87,Female
94,108,44,-64,Female
95,84,30,-54,Female
96,59,20,-39,Female
97,45,13,-32,Female
98,30,8,-22,Female
99,21,6,-15,Female
100,36,9,-27,Female
