date,count,mean,std
2025-06-01,24,11.19,1.85
2025-06-02,24,10.45,2.8
2025-06-03,24,9.4,1.49
2025-06-04,24,10.2,2.74
2025-06-05,24,10.28,2.0
2025-06-06,24,10.25,2.87
2025-06-07,24,9.56,1.75
2025-06-08,24,10.24,1.62
2025-06-09,24,11.61,1.48
2025-06-10,24,12.98,2.78
2025-06-11,24,14.4,2.32
2025-06-12,24,14.68,0.98
2025-06-13,24,15.23,1.64
2025-06-14,24,13.75,1.98
2025-06-15,24,13.9,2.13
2025-06-16,24,14.6,1.77
2025-06-17,24,14.92,1.94
2025-06-18,24,14.49,2.77
2025-06-19,24,17.59,5.35
2025-06-20,24,20.07,4.59
2025-06-21,24,16.64,2.34
2025-06-22,24,13.18,1.63
2025-06-23,24,12.76,1.54
2025-06-24,24,14.52,1.61
2025-06-25,24,13.41,1.64
2025-06-26,24,12.56,1.85
2025-06-27,24,15.46,1.49
2025-06-28,24,15.08,1.55
2025-06-29,24,15.64,3.42
2025-06-30,24,13.96,1.86
2025-07-01,24,12.45,2.26
2025-07-02,24,12.04,2.71
2025-07-03,24,13.3,2.24
2025-07-04,24,13.71,0.95
2025-07-05,24,14.34,1.04
2025-07-06,24,12.51,1.49
2025-07-07,24,12.98,1.93
2025-07-08,24,15.22,2.83
2025-07-09,24,15.83,2.87
2025-07-10,24,17.6,3.15
2025-07-11,24,18.57,3.89
2025-07-12,24,21.4,5.41
2025-07-13,24,20.53,3.7
2025-07-14,24,13.26,1.21
2025-07-15,24,14.04,1.7
2025-07-16,24,14.7,2.98
2025-07-17,24,16.21,1.35
2025-07-18,24,15.28,1.44
2025-07-19,24,15.0,2.41
2025-07-20,24,16.11,2.39
2025-07-21,24,14.14,0.87
2025-07-22,24,13.9,1.63
2025-07-23,24,14.03,1.48
2025-07-24,24,14.63,2.78
2025-07-25,24,15.11,1.3
2025-07-26,24,14.62,2.34
2025-07-27,24,14.4,1.7
2025-07-28,24,14.98,1.49
2025-07-29,24,15.52,1.38
2025-07-30,24,15.98,2.01
2025-07-31,24,14.74,1.33
2025-08-01,24,13.51,1.68
2025-08-02,24,15.03,2.28
2025-08-03,24,14.75,1.49
2025-08-04,24,14.45,1.7
2025-08-05,24,13.75,1.98
2025-08-06,24,13.21,2.05
2025-08-07,24,13.5,1.16
2025-08-08,24,14.12,2.29
2025-08-09,24,14.1,1.83
2025-08-10,24,13.9,3.09
2025-08-11,24,18.16,3.15
2025-08-12,24,19.54,4.21
2025-08-13,24,18.32,2.95
2025-08-14,24,16.95,2.39
2025-08-15,24,17.55,3.42
2025-08-16,24,16.04,2.89
2025-08-17,24,17.08,2.83
2025-08-18,24,16.6,2.61
2025-08-19,24,16.42,2.17
2025-08-20,24,14.99,1.11
2025-08-21,24,15.22,2.0
2025-08-22,24,15.33,2.53
2025-08-23,24,17.6,1.38
2025-08-24,24,16.82,2.34
2025-08-25,24,16.21,1.66
2025-08-26,24,13.7,1.15
2025-08-27,24,12.89,1.13
2025-08-28,24,12.52,0.99
2025-08-29,24,13.03,1.58
2025-08-30,24,12.41,1.88
2025-08-31,24,12.81,1.12
