hour,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
00:00,7.0,5.0,6.0,8.0,8.0,11.0,3.0
01:00,8.0,4.0,8.0,8.0,7.0,7.0,2.0
02:00,8.0,4.0,9.0,9.0,5.0,8.0,2.0
03:00,7.0,2.0,9.0,9.0,7.0,7.0,1.0
04:00,6.0,1.0,9.0,9.0,7.0,8.0,2.0
05:00,7.0,2.0,9.0,9.0,10.0,6.0,2.0
06:00,7.0,5.0,9.0,8.0,9.0,5.0,3.0
07:00,8.0,5.0,9.0,8.0,11.0,4.0,4.0
08:00,8.0,7.0,10.0,9.0,11.0,6.0,5.0
09:00,8.0,8.0,10.0,9.0,11.0,8.0,6.0
10:00,9.0,10.0,13.0,8.0,9.0,9.0,7.0
11:00,10.0,11.0,15.0,9.0,12.0,11.0,9.0
12:00,11.0,11.0,13.0,10.0,13.0,10.0,10.0
13:00,10.0,11.0,11.0,9.0,14.0,14.0,11.0
14:00,10.0,12.0,12.0,11.0,12.0,15.0,11.0
15:00,10.0,11.0,12.0,12.0,13.0,14.0,11.0
16:00,9.0,11.0,11.0,12.0,13.0,15.0,9.0
17:00,8.0,10.0,11.0,13.0,15.0,12.0,8.0
18:00,9.0,10.0,11.0,13.0,14.0,11.0,9.0
19:00,6.0,10.0,10.0,7.0,13.0,10.0,8.0
20:00,5.0,7.0,7.0,3.0,14.0,7.0,11.0
21:00,6.0,4.0,8.0,5.0,13.0,5.0,10.0
22:00,6.0,5.0,8.0,5.0,14.0,6.0,10.0
23:00,6.0,6.0,8.0,7.0,12.0,4.0,10.0
