Code,Type,Description,Count
11,Past,Patches of shallow fog or ice fog,2378
62,Past,"Rain showers, moderate or heavy",347
65,Past,"Continuous rain, moderate or heavy",271
66,Past,Continuous rain mixed with snow or ice pellets,69
81,Past,"Rain showers, violent",66
82,Past,Thunderstorm with rain,244
1,Present,Clouds generally dissolving or becoming less developed,42
2,Present,State of sky on the whole unchanged,2509
21,Present,"Rain (not freezing), not falling as showers",223
25,Present,Showers of rain,162
58,Present,"Drizzle, freezing or mixed with snow",103
61,Present,Light rain,71
80,Present,"Rain showers, slight",108
