date,temp_min,temp_max,wind_avg,wind_dir_avg,humidity_avg,pressure_avg,precip_total
2025-11-24,4.8,8.9,8.2,330.3666666666667,79.75833333333334,1007.25,0.0
2025-11-25,2.6,7.5,4.908333333333333,277.175,83.07916666666667,1018.8208333333333,0.0
2025-11-26,2.5,12.0,5.325,219.02083333333334,90.39583333333333,1013.5458333333332,3.9
2025-11-27,10.7,14.2,5.325,225.55,87.05,1006.525,0.3
2025-11-28,7.5,9.2,6.800000000000001,236.75,74.475,1003.775,1.6
2025-11-29,5.5,6.4,4.35,264.1,83.35,1002.75,0.5
2025-11-30,4.4,10.1,3.9250000000000003,226.675,87.925,1005.875,5.9
2025-12-01,7.1,12.3,5.35,235.7,87.125,991.525,11.8
2025-12-02,7.2,8.5,4.925,216.875,74.4,992.55,0.0
2025-12-03,3.8,7.1,3.725,235.875,77.625,1003.225,0.0
2025-12-04,5.2,5.2,3.0,159.1,84.9,1006.1,0.0
